start_station,end_station,directions_time_min,same_line,interchange_station,metro_distance_km,start_lat,start_lng,end_lat,end_lng,start_place_id,end_place_id,start_line,end_line,transfer_count
Thalaghattapura,Biocon Hebbagodi,48.0,False,Rashtreeya Vidyalaya Road,26.797,12.871366,77.538439,12.828967,77.681405,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJx19GElxsrjsRafNq-buRnPM,Green Line,Yellow Line,1
Biocon Hebbagodi,Thalaghattapura,48.0,False,Rashtreeya Vidyalaya Road,26.797,12.828967,77.681405,12.871366,77.538439,ChIJx19GElxsrjsRafNq-buRnPM,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Delta Electronics Bommasandra,50.0,False,Rashtreeya Vidyalaya Road,28.128,12.871366,77.538439,12.8193154,77.68834009999999,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJ69SM2khtrjsRuP3F0YoA2Go,Green Line,Yellow Line,1
Delta Electronics Bommasandra,Thalaghattapura,50.0,False,Rashtreeya Vidyalaya Road,28.128,12.8193154,77.68834009999999,12.871366,77.538439,ChIJ69SM2khtrjsRuP3F0YoA2Go,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Silk Institute,Ragigudda,22.0,False,Rashtreeya Vidyalaya Road,11.206000000000003,12.861672,77.52998099999999,12.9170037,77.58833589999999,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJx9Z8dQAVrjsRDKWBrI6O0_Y,Green Line,Yellow Line,1
Ragigudda,Silk Institute,22.0,False,Rashtreeya Vidyalaya Road,11.206000000000003,12.9170037,77.58833589999999,12.861672,77.52998099999999,ChIJx9Z8dQAVrjsRDKWBrI6O0_Y,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,Jayadeva Hospital,25.0,False,Rashtreeya Vidyalaya Road,12.489000000000003,12.861672,77.52998099999999,12.9167331,77.6000931,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJL-fqRwAVrjsRO5ziy-KDOLc,Green Line,Yellow Line,1
Jayadeva Hospital,Silk Institute,25.0,False,Rashtreeya Vidyalaya Road,12.489000000000003,12.9167331,77.6000931,12.861672,77.52998099999999,ChIJL-fqRwAVrjsRO5ziy-KDOLc,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
Silk Institute,BTM Layout,28.0,False,Rashtreeya Vidyalaya Road,13.370000000000003,12.861672,77.52998099999999,12.916488,77.60806099999999,ChIJ3R4Xzm9ArjsROzhpuVg2fho,ChIJC2hz-f0UrjsRc0WcLXUKXMI,Green Line,Yellow Line,1
BTM Layout,Silk Institute,28.0,False,Rashtreeya Vidyalaya Road,13.370000000000003,12.916488,77.60806099999999,12.861672,77.52998099999999,ChIJC2hz-f0UrjsRc0WcLXUKXMI,ChIJ3R4Xzm9ArjsROzhpuVg2fho,Yellow Line,Green Line,1
